npz_path,split_a,split_b,n_a,n_b,exact_duplicate_count,duplicate_rate_a,duplicate_rate_b,method,status,notes
wavelet_dataset/Bearing_20_0.npz,train_set,valid_set,5455,510,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_20_0.npz,train_set,test_set,5455,680,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_20_0.npz,train_set,cross_finetune_set,5455,510,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_20_0.npz,train_set,cross_test_set,5455,6140,3643,0.66782768,0.59332248,streaming_sha1,ok,
wavelet_dataset/Bearing_20_0.npz,valid_set,test_set,510,680,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_20_0.npz,valid_set,cross_finetune_set,510,510,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_20_0.npz,valid_set,cross_test_set,510,6140,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_20_0.npz,test_set,cross_finetune_set,680,510,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_20_0.npz,test_set,cross_test_set,680,6140,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_20_0.npz,cross_finetune_set,cross_test_set,510,6140,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_30_2.npz,train_set,valid_set,8190,765,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_30_2.npz,train_set,test_set,8190,1020,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_30_2.npz,train_set,cross_finetune_set,8190,765,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_30_2.npz,train_set,cross_test_set,8190,9210,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_30_2.npz,valid_set,test_set,765,1020,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_30_2.npz,valid_set,cross_finetune_set,765,765,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_30_2.npz,valid_set,cross_test_set,765,9210,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_30_2.npz,test_set,cross_finetune_set,1020,765,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_30_2.npz,test_set,cross_test_set,1020,9210,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Bearing_30_2.npz,cross_finetune_set,cross_test_set,765,9210,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_20_0.npz,train_set,valid_set,5455,510,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_20_0.npz,train_set,test_set,5455,680,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_20_0.npz,train_set,cross_finetune_set,5455,510,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_20_0.npz,train_set,cross_test_set,5455,6140,2821,0.51714024,0.45944625,streaming_sha1,ok,
wavelet_dataset/Gear_20_0.npz,valid_set,test_set,510,680,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_20_0.npz,valid_set,cross_finetune_set,510,510,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_20_0.npz,valid_set,cross_test_set,510,6140,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_20_0.npz,test_set,cross_finetune_set,680,510,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_20_0.npz,test_set,cross_test_set,680,6140,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_20_0.npz,cross_finetune_set,cross_test_set,510,6140,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_30_2.npz,train_set,valid_set,8190,765,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_30_2.npz,train_set,test_set,8190,1020,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_30_2.npz,train_set,cross_finetune_set,8190,765,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_30_2.npz,train_set,cross_test_set,8190,9210,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_30_2.npz,valid_set,test_set,765,1020,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_30_2.npz,valid_set,cross_finetune_set,765,765,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_30_2.npz,valid_set,cross_test_set,765,9210,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_30_2.npz,test_set,cross_finetune_set,1020,765,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_30_2.npz,test_set,cross_test_set,1020,9210,0,0.00000000,0.00000000,streaming_sha1,ok,
wavelet_dataset/Gear_30_2.npz,cross_finetune_set,cross_test_set,765,9210,0,0.00000000,0.00000000,streaming_sha1,ok,
