ch2,ch3,ch4,ch6,ch7,ch8,cA5,cD5,cD4,cD3,cD2,label
-0.5823342552279694,-0.9236532920575035,-0.2671176860807212,0.020677332885058457,0.042246848262939535,-0.8280214796221543,-0.12610935942604523,-0.3952027294397582,-0.6398810231489896,-1.3814068195730727,-1.7152415808842494,0
-0.622192552611902,-0.8207489088574449,-0.39366641960480314,-0.47446818453398126,-1.043186967910128,-0.6778794735469023,-0.4205327221594191,-0.5577495445439064,-0.7635664608660299,-1.4515113125797563,-1.6234619714373892,0
-0.6850327202576545,-0.8277387688104175,-0.5654773558736155,-0.6234816411547539,-0.9486386986751085,-0.6464898702420744,-0.30765815264923974,-0.7782733611855929,-0.7780324073800322,-1.4058709391604163,-2.0363838327013357,0
-0.7490797763328356,-0.83516107464592,-0.7197591851036964,-0.721027583628012,-0.9334380702175168,-0.6932036099610456,-0.29082146227759914,-0.9597246514695723,-0.8109905912746401,-1.3702763123713788,-1.6868909151787386,0
-0.8126220484674893,-0.8950463325564882,-0.7341431283390436,-0.7979595232376883,-0.9295897513049296,-0.7888622066686097,-0.3274365648484961,-1.1064819080487522,-0.7891887202598332,-1.2857994855739696,-1.189289436727783,0
-0.7222924762385117,-0.9106047945552783,-0.7023722640334752,-0.6942510175738172,-1.1364429555315982,-0.7466082361267357,-0.20377521852991973,-1.0699202431766581,-0.7372929973676278,-1.5404247367222865,-1.9383613359002934,0
-0.9016849191133899,-0.873266303637696,-1.0667777432190664,-0.9613237453393332,-1.1466601310051254,-0.5608951152463507,-0.21049905146909387,-1.3336438635381327,-1.050684656124888,-1.4153078269630581,-1.7334014528179917,0
-0.6858184115745743,-0.7974182511250926,-0.6824815927576368,-0.629206555825621,-0.809979952666595,-0.7780068110883888,-0.20111987774062368,-0.950809084338845,-0.8904648013186538,-0.8205033394733179,-1.209736634430161,0
-0.7472203366155098,-0.8213792248215048,-0.5909353313832669,-0.6543947992589058,-1.0500844888765772,-0.7844249727566216,-0.283235438744517,-0.8849201917618105,-0.866732980486722,-1.545384157236193,-1.913145359165371,0
-0.7474053659068768,-0.8049637150996004,-0.6976113245706187,-0.5875901260152883,-0.9872141153546569,-0.7966445350402078,-0.32312894793526514,-0.8297363067568367,-0.9678541135006932,-1.4016098258013863,-1.8363571885311036,0
-0.5938935076259569,-0.8156507018268029,-0.41503704048623613,-0.4562629085800507,-0.9303035838662287,-0.805354488123503,-0.3709562031801587,-0.6131693043990847,-0.7897274585591787,-1.2271326538647047,-1.2920421102805149,0
-0.6097173502376018,-0.7237036670061382,-0.31969861589792814,-0.4017374171190261,-0.9126000737976555,-0.7550973535302321,-0.4043489434146539,-0.4788844895174529,-0.8521347452929764,-1.1357532810302569,-1.7409631846486613,0
-0.414935274177209,-0.7399375257396713,0.0004565562975562576,-0.0676739751062636,-0.9298149787378978,-0.7965228865408372,-0.492824379333636,-0.14044155604425998,-0.617636551364054,-1.527041198937294,-1.6386126563471364,0
-0.44268647119602134,-0.6107436898207186,0.050587171750708385,0.015814768533428693,-0.6507070119334555,-0.7413897148012012,-0.4610508241599185,-0.0846072606442057,-0.586366076728444,-0.5045204451616202,-1.317486282481334,0
-0.3870931193857281,-0.7825081107912842,0.15629553190968515,0.05546322425325334,-1.0975735194670018,-0.8062544939736226,-0.5165455302164013,-0.06372775152330769,-0.39661900497010694,-1.6088776687883948,-1.957148102502561,0
-0.38490011102579685,-0.7848040950111373,0.214083391032011,0.09466664300343426,-0.964192260000454,-0.7626754192118615,-0.40573508895809196,-0.05178800406111378,-0.4426565574104684,-1.417809449552195,-1.5138806460932082,0
-0.3189054544590512,-0.7843408366868564,0.3594610738007325,0.22407777534831042,-0.9666259600355711,-0.8323612016665711,-0.3809643661305793,0.049624030387285516,-0.38948625221692545,-1.3715752399745866,-1.5749372818594711,0
-0.25223133734402065,-0.8672154214564981,0.40862883927367966,0.2712435997140799,-1.047093546088007,-0.9267596160023142,-0.2698570805609959,0.035442327035342176,-0.37393425100060534,-1.5590998677463312,-2.09533077515003,0
-0.2648805350983022,-0.8818210750881591,0.4542330206325146,0.2962963476127101,-0.8544040338690834,-0.8562294528588508,0.008515784674393486,-0.024851363824503685,-0.49864690680610274,-1.241263590485721,-1.732706417956447,0
-0.3539950764503791,-0.9208519870711721,0.2140804100896588,0.12399705125742527,-0.7934058469174405,-0.910918258060546,-0.06914176282659201,-0.20254171380030478,-0.6240377130495093,-1.0520583260878433,-1.3689020704021124,0
