ch2,ch3,ch4,ch6,ch7,ch8,cA5,cD5,cD4,cD3,cD2,label
-0.48772242274057365,-1.0982365017288458,0.6741186009398956,1.0469177602440634,2.8038939561087575,0.34033217123347653,0.2673896475893799,0.6584498567415513,0.2763791636138921,-0.7029556407948906,-0.7948368050154102,0
-0.8830042777533483,-1.2988650648123636,-0.2446729329078551,-0.11757787983187368,-1.3770143368872543,-1.2068297759072593,-1.1005522483483903,-0.6929516811987505,-0.5175361109827983,-1.1010651218785483,-0.9740271398078064,0
-0.8730086987608039,-1.4296628445208763,-0.2198848781009224,-0.06724838627003413,-1.1586715276192576,-1.395240130353547,-0.7602039986081255,-0.997667608398556,-0.9444135876486168,-0.6726587788299132,-1.626053659256941,0
-0.9945040493805646,-1.5163507190060574,0.33405194011462347,0.028798136668255325,-1.3381662368624727,-1.4612770731508549,-0.911992645199116,-0.657002633510861,-0.7945048741126547,-1.1710869334750331,-1.7674170397499127,0
-1.2414697075386565,-1.0748450049316,0.23482391186027757,-0.41176178959413196,-1.3923830854242567,-1.2124291379163175,-0.7450201001007116,-1.102347065502381,-0.9033937744212346,-1.4052366224794413,-1.14636996662867,0
-1.0966767370698938,-1.2240357584189434,0.45630887694243527,0.021048728820128565,-0.9509344288918022,-1.3237581021888278,-0.6520854058243003,-0.8515387143511888,-0.47504802403324514,-0.5555362214156983,-0.3457634026078983,0
-1.1365316607891387,-1.2228716805754802,0.01571540540040952,-0.552366312535858,-1.1480507176262205,-1.1869717403220847,-1.0912581044923695,-0.9388306595181859,-0.9156423664857999,-1.0816907452642066,-1.1625311290903495,0
-0.9575433490086622,-1.3797729445056044,0.9135324284407206,-0.18962374031193363,-1.116540959275672,-1.2969685453959274,-0.6497388930662585,-0.7247092929549365,-0.5173878447399967,-0.9056358146951111,-1.5910838692534266,0
-1.1308603835249982,-1.5005263743354609,0.265193705662443,-0.626892587948546,-0.7668938055580916,-1.3560896548959038,-0.9688899991785554,-1.0773711304617586,-0.9472544798913612,-1.3794424763451631,-1.7503320277932486,0
-1.0069425760760313,-1.4493932513303176,0.3224741258925762,-0.5292918998963995,-0.6224670375845055,-1.2632065206053154,-0.9529424692310673,-1.0030403484265034,-0.7006325760468902,-0.32098275425645856,0.06750859529350167,0
-1.1341486181735436,-1.3962462340214883,-0.22360849401684424,-0.9141624321838197,-0.6649083292599457,-1.1632853132081504,-1.170949795286861,-1.253876894131733,-1.062030663532279,-0.7702840044489041,-0.11697935041863283,0
-0.8566499919482932,-1.469406606316815,-0.23809599103174037,-0.7797862485182019,-0.7432214989124223,-1.450538261361976,-1.308674500564814,-1.011435833407477,-0.7858376353171018,-1.000434973645095,-1.1541557160750486,0
-0.9129418491794241,-1.5566934039066447,-0.10559318670107026,-0.7287591975152006,-0.6843778681763582,-1.3636236128060024,-1.3110043055002432,-0.9421677370404591,-1.1458732480120295,-0.43012307651752163,-0.421743200803878,0
