ch2,ch3,ch4,ch6,ch7,ch8,cA5,cD5,cD4,cD3,cD2,label
-0.7421901140088705,-0.6288728124557595,-0.7405265348960544,-0.5779469192619879,-0.7602803347319881,0.5820174750049586,-0.19944124806435806,-0.7331134690019678,-0.832232241983887,-0.7111151786522827,-0.537196942149602,0
-0.6887609899110778,-0.7409429624815581,-0.6511106991726188,-0.662298307457825,-0.7522215361825075,-1.0966990497591247,-0.8376417323621029,-0.7208904066719289,-0.7928231287171811,-0.6145451276140159,-0.5624629328526811,0
-0.7898330305289575,-0.6496244951121408,-0.6504978040297734,-0.6813654395717298,-0.5754482017150405,-0.9950154396776998,-0.7014919267124095,-0.8122728397630191,-0.8818808269703449,-0.06882419867074183,-0.1768376014592338,0
-0.7150414337269053,-0.5926966133155426,-0.639082153192687,-0.6435067717694547,-0.058043439836628616,-0.914164476650128,-0.8005237200212452,-0.7600683046600049,-0.6556839934995397,1.258528675908663,0.8530802935987158,0
-0.6885225903275004,-0.5207447123232568,-0.6388166200594566,-0.7603294624806718,-0.7092316282455503,-1.0875289999315263,-0.6312583130538724,-0.8228290500480339,-1.0102364310751828,-0.6574419202341817,-0.6734945052767289,0
-0.6955377777670775,-0.3416483970883942,-0.6871226022937572,-0.7690174499626203,-0.6148209831798218,-1.0271976607562847,-0.6273906167236963,-0.8141234795203527,-0.844881488023698,-0.5276050785186073,-0.8493270649953822,0
-0.678334539778383,-0.2969787044945228,-0.7009424729897011,-0.7762361904194724,-0.5287628204246198,-1.017038191347376,-0.6089408536317847,-0.8348787961210511,-0.7960423878887817,-0.21723176932110355,-0.507654858940275,0
-0.641999506486586,-0.46817300438492476,-0.6110264401763615,-0.7285662345726449,-0.5885265602654169,-0.963100314819222,-0.658222423404605,-0.7601186149063045,-0.7168534734374868,-0.5790857506798767,-0.39329433511577205,0
-0.7624722541802583,-0.17181078322524274,-0.6762056318555949,-0.7782903173971655,-0.17525691991850775,-0.9919857901629466,-0.4962384156944031,-0.9046456851969853,-0.8314669027192767,0.5002520402349511,0.021301774541778794,0
-0.5768901991332847,-0.29754244471746777,-0.5917853247925429,-0.6739809349557965,-0.3705425158520702,-0.9585885142680022,-0.49749275528492826,-0.7348445254009215,-0.6772704245088211,-0.31121186280044444,-0.7187160773810076,0
-0.5919038891881762,-0.4349431485844185,-0.54202153521158,-0.6533914967966327,-0.5402346567414205,-0.9926803501876216,-0.5363978718632145,-0.7112730033477513,-0.7853937228434693,-0.5049703334719287,-0.7038652019610078,0
-0.6089859762672195,-0.4578207528627944,-0.596764894436028,-0.6715249848378854,-0.7102168286210363,-1.1248436749030122,-0.6682702974776376,-0.7185701955745832,-0.7088013731854623,-0.5018595846929749,-0.9118571767887227,0
-0.5552025329648873,-0.44145197618070425,-0.6956311197346442,-0.6855432011858144,-0.5038663492354775,-1.1120293087304702,-0.6580090482984181,-0.7380249864692325,-0.8150115380263202,-0.3654436325720605,-0.3983693783144274,0
-0.5830943326526712,-0.6004075116452056,-0.6444920604118587,-0.617249848898817,-0.5880886614515634,-1.1856447423223493,-0.6779360387500037,-0.7215277374285022,-0.726012315413972,-0.3815615035034228,-0.572568048077589,0
-0.6676764674932819,-0.3759063699917708,-0.6669816979600166,-0.7323166722045223,-0.38540038895399176,-1.0107161418743793,-0.6138068744115007,-0.8005381727623683,-0.7365580956395138,-0.3011003264111867,-0.3003427904600351,0
-0.5490407438660408,-0.5177891845589645,-0.7208048067156693,-0.6836572966361718,-0.04330218426531589,-1.0549143324001184,-0.5663473834107012,-0.7887019851340834,-0.7647716086736284,-0.13734271103058837,-0.2130451725625472,0
-0.4890882751114992,-0.4082802508171095,-0.6994655730762269,-0.5814399308634676,-0.4706141073408299,-1.0358814768149966,-0.4689308596418067,-0.7505323346528514,-0.8040876965855419,0.14701247527139474,0.0333439572091802,0
-0.6285123638147811,-0.7166500278508339,-0.7425040414183457,-0.7002274006720451,-0.7053782582685677,-1.1257550688452356,-0.7960914570917617,-0.8071970177348904,-0.6055254521948265,-0.41408843045434474,-0.608835455323846,0
-0.5894064891362498,-0.653833137307735,-0.6747122575090725,-0.6268714798563129,-0.7229718087131832,-1.1403939406740249,-0.6878447708471623,-0.7528810834978622,-0.6977798498758166,-0.471892256123018,-0.3718118940756182,0
-0.6039237093664748,-0.5169351510010627,-0.6645656951137232,-0.5679521200579012,-0.7157219829890342,-1.196078736804037,-0.5549582209926024,-0.7317004856725073,-0.8151682775014215,-0.7379473451328723,-0.7353106634927776,0
-0.5688524767861325,-0.5797295825527905,-0.5621617062061054,-0.5546789359489007,-0.4534942768661396,-1.0889004185056264,-0.49740493644516204,-0.7235706543653722,-0.8117067901597919,0.12209713407904098,-0.2590083573717197,0
-0.692339249108706,-0.5984115215727305,-0.6438693256775059,-0.6083811556822684,-0.46660615978311576,-0.8902229754343888,-0.5498889853612188,-0.7974310663668267,-0.8198738166536816,0.1937776070443754,0.12316405577316594,0
-0.6114177311426571,-0.5703244197087368,-0.6534602999454101,-0.6007013063751359,-0.6078507757545795,-1.1228234606330338,-0.5221459207036591,-0.7915363256123582,-0.7351639293005041,-0.4421036571563892,-0.5056586934857542,0
-0.6078845337546765,-0.5625062605447365,-0.5372300730852559,-0.6818597189445161,-0.7143207334809614,-0.8565908319031432,-0.4721800573222398,-0.7671088924016202,-0.8391020858516447,-0.8824948647291216,-0.930231996032618,0
-0.6394733462403024,-0.6016930199363184,-0.6287798221550192,-0.6500092159555944,-0.5092247477847279,-0.9291257939343106,-0.5861713899583316,-0.7798209128626108,-0.7318332729297369,-0.14760751273163608,-0.36185720002047445,0
