T_idx,Y_idx,T_name,Y_name,ATE
0,10,X0,X10,-0.9468
1,81,X1,X81,0.8859
2,82,X2,X82,0.9414
3,4,X3,X4,0.9593
3,8,X3,X8,0.6854
3,23,X3,X23,0.8635
5,0,X5,X0,0.751
5,65,X5,X65,0.6864
6,1,X6,X1,0.791
7,6,X7,X6,0.823
11,1,X11,X1,-0.8374
12,7,X12,X7,-0.6885
12,92,X12,X92,0.8803
13,3,X13,X3,-0.8942
13,14,X13,X14,0.9486
14,4,X14,X4,-0.9134
16,6,X16,X6,0.7273
16,36,X16,X36,0.5203
17,7,X17,X7,0.7188
17,36,X17,X36,0.5228
17,96,X17,X96,0.7886
18,8,X18,X8,0.811
18,19,X18,X19,0.6806
18,38,X18,X38,0.4732
19,9,X19,X9,0.8243
19,39,X19,X39,0.5104
21,31,X21,X31,-0.6926
21,81,X21,X81,0.8952
21,101,X21,X101,0.6786
22,21,X22,X21,0.8472
22,27,X22,X27,0.7777
24,23,X24,X23,0.862
24,29,X24,X29,0.6231
24,64,X24,X64,0.8023
25,20,X25,X20,0.9536
25,36,X25,X36,0.7211
26,21,X26,X21,0.8472
26,36,X26,X36,0.84
28,23,X28,X23,0.6707
30,20,X30,X20,-0.4345
32,27,X32,X27,-0.7343
32,31,X32,X31,0.69
33,23,X33,X23,-0.9327
33,73,X33,X73,0.6684
34,24,X34,X24,-0.9299
34,33,X34,X33,0.8668
34,54,X34,X54,0.8994
35,15,X35,X15,0.6155
35,20,X35,X20,0.7492
35,105,X35,X105,0.7957
37,27,X37,X27,0.7897
37,36,X37,X36,0.398
37,77,X37,X77,0.3821
38,28,X38,X28,0.8698
39,29,X39,X29,0.8541
39,38,X39,X38,0.5864
41,46,X41,X46,0.7435
42,47,X42,X47,0.7657
42,82,X42,X82,0.9287
43,3,X43,X3,0.8844
43,48,X43,X48,0.6843
44,4,X44,X4,0.9061
44,24,X44,X24,0.9029
44,43,X44,X43,0.9194
45,16,X45,X16,0.1427
45,40,X45,X40,0.8891
45,50,X45,X50,-0.8562
46,6,X46,X6,0.6686
50,10,X50,X10,0.673
50,40,X50,X40,-0.9391
50,70,X50,X70,0.8827
51,11,X51,X11,0.7423
52,42,X52,X42,-0.8191
52,47,X52,X47,-0.6987
52,73,X52,X73,0.6416
53,43,X53,X43,-0.8859
53,54,X53,X54,0.924
54,14,X54,X14,0.894
54,44,X54,X44,-0.9142
54,49,X54,X49,-0.6084
55,11,X55,X11,-0.2459
56,16,X56,X16,0.3
56,46,X56,X46,0.5548
56,112,X56,X112,0.0534
57,47,X57,X47,0.7539
58,48,X58,X48,0.8453
59,19,X59,X19,0.529
59,39,X59,X39,0.511
59,49,X59,X49,0.8425
60,0,X60,X0,0.9097
60,10,X60,X10,-0.8986
60,40,X60,X40,0.8807
60,55,X60,X55,-0.664
60,65,X60,X65,0.7613
61,1,X61,X1,0.8208
61,62,X61,X62,0.9298
61,66,X61,X66,0.8347
61,81,X61,X81,0.985
62,42,X62,X42,0.8927
63,42,X63,X42,0.7545
63,73,X63,X73,-0.8899
64,74,X64,X74,-0.9101
64,84,X64,X84,0.7834
66,86,X66,X86,0.9439
67,62,X67,X62,0.823
67,66,X67,X66,0.8009
